local_test_code,test_name,specimen,unit,method,discipline
DEMO-001,Glucose,Serum,mg/dL,,Chemistry
DEMO-002,Glicemia,Siero,mg/dL,,Chemistry
DEMO-003,Glucose fasting,Plasma,mg/dL,,Chemistry
DEMO-004,Creatinine,Serum,mg/dL,,Chemistry
DEMO-005,Creatinina,Siero,mg/dL,,Chemistry
DEMO-006,Hemoglobin,Blood,g/dL,,Hematology
DEMO-007,Hb,Sangue,g/dL,,Hematology
DEMO-008,TSH,Serum,mIU/L,,Endocrinology
DEMO-009,Urine culture,Urine,,Culture,Microbiology
DEMO-010,Blood culture,Blood,,Culture,Microbiology
DEMO-011,Vitamin D,Serum,ng/mL,,Chemistry
DEMO-012,25 OH Vitamin D,Serum,ng/mL,,Chemistry
DEMO-013,Complete blood count,Blood,,Automated count,Hematology
DEMO-014,CBC,Blood,,Automated count,Hematology
DEMO-015,Generic test,,,,Unknown
DEMO-016,Test X12,,,,Unknown
DEMO-017,CRP,Serum,mg/L,,Chemistry
DEMO-018,C reactive protein,Serum,mg/L,,Chemistry
DEMO-019,Calculated LDL,Serum,mg/dL,Calculated,Chemistry
DEMO-020,Lipid panel,Serum,,Panel,Chemistry
